AmountSaved,المبلغ المدخر
ScotApp_1313,* افحص الطابعة للتأكد من عدم وجود أوراق عالقة. \n* أعد تحميل الورق. \n* أطفئ الجهاز بالشكل الصحيح وأعد تشغيله.
ScotApp_1681,خطأ في جهاز إعادة تدوير الأوراق النقدية
ScotApp_1069,1069 غير مستخدمة
ScotApp_1325,ضع السلعة على الميزان.
ScotApp_1278,محدد من قبل المستخدم20
ScotApp_1103,السابق
ScotApp_1534,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1056,1056 غير مستخدمة
ScotApp_1312,* أزل علبة الأوراق النقدية. \n* افتحها وأزل الأوراق النقدية. \n* أغلقها وأعد إدخالها في جهاز التلقي. \n* تأكد من تشغيل محرك متلقي الأوراق النقدية ومن أن مصباح المؤشر أخضر.
ScotApp_1265,محدد من قبل المستخدم7
ScotApp_1850,Devices in error
ScotApp_1213,مجهول
ScotApp_1521,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_139,خذ الوصل
ScotApp_1043,استخدم وضعية المساعدة لقبول %s من العميل.
ScotApp_1401,المساعدة قيد التنفيذ. \n\nنرجو الانتظار...
UnknownItemMessage,المساعدة في الطريق.\n\nضع الصنف جانباً و تابِع.
TimeRestrictedItemMessage,لا يمكنك شراء هذا الصنف في هذه المرّة.\n\nضع الصنف جانباً وتابِع.
ItemQuantityExceededMessage,لقد تجاوزت الكمية المسموح بها لهذه السلعة.\n\nضع الصنف جانباً وتابِع.
WeightMismatch,فحص وزن الغرض.\n\nيرجى الاننتظار...
ItemQuantityExceeded,حدود الكمية تجاوزت الحد
WaitForRemoteAssistanceTitle,الحاضر عن بعد
ScotApp_489,شكرا لك على استخدام NCR SelfServ Checkout.
ScotApp_273,لا تمسح في الوقت الحالي.\nضع السلعة جانبا.
ScotApp_431,بطاقة ولاء غير صحيحة. نرجو التوثيق.
ScotApp_410,المساعدة مطلوبة:
ScotApp_1739,نرجو انتظار موظف حاضر. \nتعذر على النظام توثيق أكياسك. \nإذا كنت قد وضعت عن طريق الخطأ شيئا آخر في منطقة التعبئة في أكياس، نرجو إزالته.
ScotApp_73,العودة إلى وضعية التسوق
ScotApp_772,تم تقديم طلب لتعليق العملية الحالية. \nنرجو تأكيد هذا الطلب أو إلغاءه.
ScotApp_530,أزل البطاقة، ثم...\nأدخل بطاقة مختلفة.\n -أو-\nادفع نقدا.\n -أو-\nاطلب المساعدة.
ScotApp_524,تم إدخال رقم سري غير صحيح. \nأعد إدخال الرقم السري على آلة الدفع.
ScotApp_397,استخدم وضعية المساعدة لبيع السلع الصحيحة. \nاجمع السلع الأخرى التي لا يراد بيعها.
ScotApp_171,"""%s""\n\nهل %d صحيح؟"
ScotApp_1374,\n---------------------------------------\n
ScotApp_1646,تم تعليق العملية. ضع كل السلع جانبا.
ScotApp_495,لقد تجاوزت الكمية المسموح بها لهذه السلعة.\n \nنرجو وضعها جانبا والمتابعة.
ScotApp_529,أزل البطاقة، ثم...\nأدخل بطاقة مختلفة.\n -أو-\nادفع نقدا.\n -أو-\nاطلب المساعدة.
ScotApp_275,لا تدخل بطاقات الدفع في الوقت الحالي.\nخذ بطاقتك.
ScotApp_1891,تحقق النظام جارٍ. \nنرجو الانتظار...
ScotApp_1750,نرجو الانتظار ريثما نعالج بصمة إصبعك.
ScotApp_169,هل تريد متابعة عملية الشراء؟
ScotApp_415,خذ بطاقة الولاء الخاصة بك. \nتم إدخال البطاقة من قبل.
ScotApp_1793,لا تقبل هذه الآلة سوى بطاقات الائتمان أو بطاقات السحب في الوقت الحالي. \nهل ترغب في الاستمرار؟
ScotApp_477,أسقط قسائمك.\nبعد طباعة وصلك:\n-- خذ سلعك. \n--خذ الوصل والقسائم إلى منطقة الدفع.
ScotApp_177,تم إلغاء عملية الشراء كلها. ضع جميع السلع جانبا.
ScotApp_656,نرجو وضع <%s> جانبا. \nسيساعدك موظف من المتجر.
ScotApp_1709,لا تدخل الأوراق أو النقود المعدنية في الوقت الحالي. \nنرجو أخذ نقودك المردودة. \nيتم صرف الأوراق النقدية من أسفل الماسحة الضوئية.
ScotApp_435,اختر نوع الفائدة. \nإذا كنت ترغب في استخدام قسائم الطعام، يجب استخدامها قبل الفوائد الأخرى.
ScotApp_808,خذ السلع التي تحمل بطاقات أمنية إلى الموظف الحاضر لإزالتها.
ScotApp_294,"لطلب المساعدة من المتجر، المس زر ""طلب المساعدة""."
ScotApp_1287,نرجو الانتظار...\nيجري فحص وزن السلعة.
ScotApp_525,تم إدخال رقم سري غير صحيح. \nأزل البطاقة، ثم... \nأدخل بطاقة مختلفة\n -أو-\nادفع نقدا
ScotApp_480,"نرجو لمس ""OK"" ثم أخذ استمارة العملية والسلع إلى صندوق المحاسبة."
ScotApp_1751,أزل كل الأوزان عن ميزان الأكياس والمس متابعة.
ScotApp_175,"هل تريد إزالة \n""%s""\n من الوصل؟"
ScotApp_1746,خادم بصمة الإصبع غير متاح. \nنرجو المحاولة مجددا.
ScotApp_1839,Please wait for cashier.\nDo not scan at this time. Set item aside.
ScotApp_501,نرجو التوقيع على الوصل وانتظار موافقة المتجر.
ScotApp_414,خذ بطاقة الولاء الخاصة بك. \nلا يمكن تطبيق الخصم على مشترياتك الحالية. سيتم إرسالها إليك بالبريد.
ScotApp_563,وقع خطأ عند طلب المجموع. \nسيتم الخروج من التطبيق الآن.
ScotApp_263,لا يمكن إلغاء السلعة حتى يتم إلغاء قسيمتها.\nألغ قسيمة السلعة أولا.
ScotApp_800,"نرجو فحص سلتك. \n\nامسح السلع الإضافية الآن أو\nالمس ""OK"" للدفع."
ScotApp_134,التفويض قيد التنفيذ. \nالرجاء الانتظار.
ScotApp_620,اطبع التحمل
ScotApp_161,"%s\nاستخدم لوحة المفاتيح لإدخال الكمية والمس ""OK""."
ScotApp_440,رصيد المكافأة النقدية الخاصة بك أقل من المطلوب. \nهل تريد تطبيق ما تبقى من قيمة المكافأة النقدية البالغ %s على هذه المشتريات؟
ScotApp_184,%s سيتم خصمها من حسابك.
ScotApp_274,لا تدخل النقود في الوقت الحالي.\nخذ نقودك.
ScotApp_1744,فشلت الآلة في التعرف على بصمة إصبعك. \nنرجو المحاولة مجددا.
ScotApp_160,تم استرداد السلعة.\nالمساعدة قادمة.\nضع السلعة جانبا وتابع عملية الشراء.
ScotApp_1795,"أو التقيد بـ""بطاقات فقط""."
ScotApp_159,سعر السلعة غير معروف.\nالمساعدة قادمة.\nضع السلعة جانبا وتابع عملية الشراء.
ScotApp_458,اختر نوع الفائدة. \nلا يمكن استخدام قسائم الطعام لعملية الشراء هذه.
ScotApp_1329,نرجو الانتظار...\nيجري فحص وزن السلعة.\nتمت تعبئة وزن مضاعف.
ScotApp_407,خطأ في قراءة البطاقة.\n* جرب بطاقة مختلفة\n -أو-\n* اطلب المساعدة
ScotApp_706,"رصيد قسيمة الطعام لديك أقل من مجموع ثمن هذه المشتريات. \nالمس ""OK"" لاستخدام طريقة دفع أخرى."
ScotApp_606,حذف قيود وزن
ScotApp_906,نرجو أخذ سلعك.
ScotApp_705,"رصيد مكافأتك النقدية أقل من مجموع ثمن هذه المشتريات. \nالمس ""OK"" لاستخدام طريقة دفع أخرى."
ScotApp_605,إضافة قيد وزن
ScotApp_405,خطأ في قراءة البطاقة.\n* جرب بطاقة أخرى\n -أو-\n* ادفع نقدا\n -أو-\n* اطلب المساعدة
ScotApp_491,نرجو أخذ بطاقتك.
ScotApp_818,نرجو انتظار المحاسب. \nالمساعدة مطلوبة لـ:
ScotApp_1796,"أو التقيد بـ""نقد فقط""."
ScotApp_438,رصيد قسيمة الطعام الخاصة بك أقل من المطلوب. \nهل تريد تطبيق ما تبقى من قيمة قسيمة الطعام البالغ %s على هذه المشتريات؟
ScotApp_1596,"هل تريد حفظ %s على أنها لغتك المفضلة على %s؟\n اختر ""نعم"" أو ""لا""."
ScotApp_766,%s سيتم خصمها من حسابك.
ScotApp_166,المساعدة قادمة.\nنرجو متابعة عملية الشراء.
ScotApp_413,خذ بطاقة الولاء الخاصة بك. \nسيتم تطبيق الأسعار بعد الخضم.
ScotApp_1797,"لم يصلح الإجراء التصحيح الخطأ. \n نرجو المحاولة مجددا أو التقيد بـ""نقد فقط""."
ScotApp_178,انتظر موافقة المتجر.\nالموافقة مطلوبة على:
ScotApp_790,تم رفض بطاقتك. \nنرجو اختيار طريقة دفع أخرى.
ScotApp_1794,لا تقبل هذه الآلة سوى الدفع نقدا في الوقت الحالي. \nلا يمكن معالجة بطاقات ائتمان أو بطاقات سحب.\nهل ترغب في الاستمرار؟
ScotApp_412,هذه السلعة ستجعل مشترياتك تتجاوز %s. نرجو الدفع الآن وشراء السلع الأخرى منفصلة.
ScotApp_546,لا تبلغ السن المطلوبة لشراء هذه السلعة. \nنرجو وضعها جانبا ومتابعة عملية الشراء.
ScotApp_553,تُقبل القسائم في نهاية عملية الشراء. \nنرجو وضعها جانبا والمتابعة.
ScotApp_211,يتم تنفيذ العملية...\nنرجو الانتظار.
ScotApp_1400,الحاضر عن بعد
ScotApp_1754,الحروف غير مطابقة لسلعة. \nنرجو المحاولة مجددا.
ScotApp_1859,"هل تريد شراء صندوق كامل من %s ؟  اختر ""نعم"" أو ""لا"".  "
ScotApp_533,لا يمكنك شراء هذه السلعة حاليا. \nنرجو وضعها جانبا ومتابعة عملية الشراء.
ScotApp_1763,%5.2f kg أقصى %5.2f kg أدنى %3.1f kg العدد الأقصى %4.0f
ScotApp_1762,%4.2f lb أقصى %4.2f lb أدنى %3.1f lb العدد الأقصى %4.0f
ScotApp_1764,%4.2f lb أقصى %4.2f lb أدنى %3.1f lb العدد الأقصى %4.0f
ScotApp_1765,%5.2f kg أقصى %5.2f kg أدنى %3.1f kg العدد الأقصى %4.0f
ScotApp_305,اختر الوعاء لـ: %s
ScotApp_703,"استخدم حشية الرقم السري. اضغط على ""إلغاء"" على حشية الرقم السري لإلغاء الدفع."
ScotApp_125,"أدخل تاريخ ميلاد الزبون %s  والمس ""الموافقة"""
ScotApp_1853,"Key in customer's birth date %s and touch ""Enter"". "
ScotApp_654,يجب أن يكون التاريخ على شكل %s. القيمة المدخلة: %s
ScotApp_560,هذا النظام لا يقبل القسائم.
ScotApp_1788,هل %d صحيح؟ \n\nستتم إضافة %s ثمن الأكياس إلى مجموع فاتورتك.
ScotApp_1358,تم تطبيق مبلغ بطاقة الهدية البالغ %s على مشترياتك. \n\nرصيد بطاقة الهدية الخاصة بك هو %s.
ScotApp_167,لا تتطابق القسيمة مع أية سلعة مشتراة.\n\nلا يمكن قبول هذه القسيمة.
ScotApp_164,لم يتعرف النظام على رمز السلعة هذا.\n\nتأكد من إدخال الرقم الصحيح.
ScotApp_547,رقم المشغل وكلمة المرور غير صحيحين. \n\nنرجو المحاولة مجددا.
ScotApp_442,%s من مشترياتك يمكن دفع ثمنها بواسطة قسائم الطعام. \n\n%s
ScotApp_443, سيتم تقاضي %s من حسابك. \n\n هل توافق على ذلك؟  
ScotApp_700,لا يمكن بيع السلعة في هذا الممر.\nالمساعدة قادمة.\n\nضع السلعة جانبا وتابع عملية الشراء.
ScotApp_165,لم يتعرف النظام على هذه السلعة.\nالمساعدة قادمة.\n\nضع السلعة جانبا وتابع عملية الشراء.
ScotApp_182,المبلغ الذي أدخلته لهذه القسيمة كان مرتفعا جدا. \n\nلا يستطيع هذا النظام قبول هذه القسيمة.
ScotApp_733,تم رفض البطاقة. \nاستخدام بطاقة أخرى أو ادفع نقدا.
ScotApp_812,شكرا لك على استخدام NCR SelfServ Checout. \nنرجو أخذ بطاقة الهدية الخاصة بك إلى المحاسب.
ScotApp_1826,هل ترغب في حفظ خياراتك المفضلة على بطاقة الولاء؟
ScotApp_1852, أزل لطفاً السلعة الملغيّة من منطقة التعبئة في الأكياس..
QRCodeErrorText,QR Code Error
ScanQRCodeInstruction,Scan this code to complete\nyour Mobile shopping.
ScotApp_1896,Transferring items from mobile cart.
ScotApp_1897,يرجى الاننتظار...
ScotApp_1898,Mobile Cart
ScotApp_1899,Mobile Audit
ScotApp_1900,Mobile Shopper Audit
